"month","year","url","row","bien","medida","cantidad","precio","total"
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","23","Repollo","Libra",2,6.49,12.98
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","24","Jabón de lavar ropa","Unidad",12.55,11.98,150.349
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","25","Detergente en polvo","Bolsita de 40 gramos",27.97,2.08,58.1776
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","26","Pasta dental","Unidad de 115 grs",2.13,27.86,59.3418
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,1.01,10.9787
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","28","Escoba","Unidad",1.22,35.98,43.8956
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","29","Papel higiénico","Rollos",10.71,10.16,108.8136
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","30","Jabón de baño","Unidad",4.67,5.59,26.1053
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,13.01,28.7521
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","32","Desodorante nacional","Unidad",1.9,20.01,38.019
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","33","Cepillo dental","Unidad",2.49,9.84,24.5016
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","35","Gas butano","25 libras",1,288.67,288.67
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","36","Luz eléctrica","KWH",100,2.342914,234.2914
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","37","Agua","Galones",5292,0.01559,82.50228
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","38","Transporte","Pasaje",240,2.5,600
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,269.99,167.3938
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","40","Camisa manga corta","Unidad",0.66,88.67,58.5222
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","41","Calzoncillos","Unidad",1.57,26.72,41.9504
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","42","Calcetines","Par",1.32,19.97,26.3604
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.43,304.63,130.9909
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","44","Blusa manga corta","Unidad",0.66,76.99,50.8134
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,261.65,133.4415
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","46","Vestido entero","Unidad",0.5,203.07,101.535
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","47","Calzones/Bikinis","Unidad",1.23,25.06,30.8238
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","48","Brassier/sostén","Unidad",0.97,28.36,27.5092
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","49","Sandalias de cuero sintético","Par",0.44,175.9,77.396
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","50","Traje completo","Unidad",0.5,206.68,103.34
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","51","Calzones","Unidad",1.43,17.61,25.1823
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","52","Calcetines","Par",1.39,17.81,24.7559
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","53","Zapato de cuero sintético","Par",0.45,244.67,110.1015
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","1","Arroz","Libra",38,10.25,389.5
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","2","Frijol","Libra",34,12.66,430.44
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","3","Azúcar","Libra",30,8.06,241.8
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","4","Aceite","Litro",7,36.72,257.04
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","5","Posta de res","Libra",8,51.78,414.24
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","6","Posta de cerdo","Libra",5,52.41,262.05
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","7","Carne de aves","Libra",8,27.88,223.04
"Abr",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAbril2012.xls","8","Chuleta de pescado","Libra",9,57.21,514.89
